rank,type_designator,group,description,engine_aircraft_class,wtc,cwt,srs,lahso,manufacturer_model
239,MD60,secondary,Helicopter,1 ~T / S,Light,I,I,,"BOEING, MD-600N ; HONGDU MD HELICOPTERS, MD-600N ; MCDONNELL DOUGLAS, MD-600N ; MD HELICOPTERS, MD-600N"
240,H500,secondary,Helicopter,1T/S,Light,I,I,,"AGUSTA, NH-500 ; BOEING, MD-500 ; BOEING, MD-500 Defender ; BOEING, MD-500 Nightfox ; BOEING, MD-530F Lifter ; BOEING, MD-530MG Defender ; BOEING, MD-530MG Nightfox ; BREDANARDI, NH-500 ; HUGHES, 369 ; HUGHES, 500 ; HUGHES, 500 Defender ; HUGHES, 530F ; HUGHES, AH-6C ; HUGHES, AH-6G ; HUGHES, MH-6B ; HUGHES, MH-6C ; HUGHES, MH-6E ; HUGHES, MH-6H ; HUGHES, OH-6 Cayuse ; KAWASAKI, 369 ; KAWASAKI, 500 ; KAWASAKI, OH-6 ; KOREAN AIR, 369 ; KOREAN AIR, 500 ; KOREAN AIR, 500 Defender ; KOREAN AIR, 520MK Black Tiger ; MCDONNELL DOUGLAS, AH-6G ; MCDONNELL DOUGLAS, MD-500 ; MCDONNELL DOUGLAS, MD-500 Defender ; MCDONNELL DOUGLAS, MD-500 Nightfox ; MCDONNELL DOUGLAS, MD-530F Lifter ; MCDONNELL DOUGLAS, MD-530MG Defender ; MCDONNELL DOUGLAS, MD-530MG Nightfox ; MCDONNELL DOUGLAS, MH-6H ; MD HELICOPTERS, AH-6I ; MD HELICOPTERS, MD-500 ; MD HELICOPTERS, MD-500 Defender ; MD HELICOPTERS, MD-500 Nightfox ; MD HELICOPTERS, MD-530F Lifter ; MD HELICOPTERS, MD-530MG Defender ; MD HELICOPTERS, MD-530MG Nightfox ; RACA, 500"
241,H47,secondary,Helicopter,2T/L,Medium,G,I,,"AGUSTAWESTLAND, ICH-47 Chinook BOEING, CH-47 Chinook BOEING, HH-47 ; BOEING, JCH-47 Chinook BOEING, MH-47 Chinook BOEING VERTOL, 114 BOEING VERTOL, 234"
242,H53,secondary,Helicopter,2T/L,Medium,G,I,,"SIKORSKY, CH-53A Sea Stallion ; SIKORSKY, CH-53A Yasur ; SIKORSKY, CH-53C ; SIKORSKY, CH-53D Sea Stallion ; SIKORSKY, CH-53G ; SIKORSKY, HH-53 ; SIKORSKY, MH-53H ; SIKORSKY, MH-53J ; SIKORSKY, RH-53 Sea Stallion ; SIKORSKY, S-65 ; SIKORSKY, S-65 Yasur ; SIKORSKY, TH-53 ; SIKORSKY, VH-53 Sea Stallion ; VFW, CH-53G"
243,H64,secondary,Helicopter,2 ~T / S+,Medium,H,I,,"HOLLMANN, HA-2 Sportster ; HINDUSTAN, HA-31 Basant ; HAWKER BEECHCRAFT, 4000 Hawker 4000"
244,C130,secondary,Fixed-wing,4T/L,Medium,F,III,,"LOCKHEED, 182 Hercules LOCKHEED, 282 Hercules LOCKHEED, 382 Hercules LOCKHEED, C-130 Karnaf LOCKHEED, C-130A Hercules LOCKHEED, C-130B Hercules LOCKHEED, C-130E Hercules LOCKHEED, C-130F Hercules LOCKHEED, C-130H Hercules LOCKHEED, C-130K Hercules LOCKHEED, CC-130 Hercules LOCKHEED, DC-130 Hercules LOCKHEED, EC-130 Aya LOCKHEED, EC-130 Sapeer LOCKHEED, EC-130E Hercules LOCKHEED, EC-130G Hercules LOCKHEED, EC-130H Hercules LOCKHEED, EC-130Q Hercules LOCKHEED, HC-130 Hercules LOCKHEED, JC-130 Hercules LOCKHEED, KC-130 Karnaf LOCKHEED, KC-130B Hercules LOCKHEED, KC-130F Hercules LOCKHEED, KC-130H Hercules LOCKHEED, KC-130R Hercules LOCKHEED, KC-130T Hercules LOCKHEED, L-100 Hercules LOCKHEED, LC-130 Hercules LOCKHEED, MC-130 Hercules LOCKHEED, NC-130 Hercules LOCKHEED, RC-130 Hercules LOCKHEED, TC-130 Hercules LOCKHEED, Tp84 Hercules LOCKHEED, VC-130 Hercules LOCKHEED, WC-130E Hercules LOCKHEED, WC-130H Hercules LOCKHEED MARTIN, 382C Hercules LOCKHEED MARTIN, C-130H Hercules LOCKHEED MARTIN, LC-130 Hercules"
245,C30J,secondary,Fixed-wing,4T/L,Medium,F,III,,"LOCKHEED MARTIN, 382J Super Hercules LOCKHEED MARTIN, 382U Super Hercules LOCKHEED MARTIN, 382V Super Hercules LOCKHEED MARTIN, AC-130J Ghostrider LOCKHEED MARTIN, C-130J Super Hercules LOCKHEED MARTIN, CC-130J Super Hercules LOCKHEED MARTIN, EC-130J Super Hercules LOCKHEED MARTIN, HC-130J Super Hercules LOCKHEED MARTIN, KC-130J Super Hercules LOCKHEED MARTIN, LM-100J Super Hercules LOCKHEED MARTIN, MC-130J Super Hercules LOCKHEED MARTIN, WC-130J Super Hercules"
246,C17,secondary,Fixed-wing,4J/H,Heavy,C,III,,"BOEING, C-17 Globemaster 3 BOEING, CC-177 Globemaster 3 MCDONNELL DOUGLAS, C-17 Globemaster 3"
247,T6,secondary,Fixed-wing,1 P / S,Light,I,I,2,"TITAN, T-51 Mustang"
248,DC3,secondary,Fixed-wing,2P/S+,Medium,H,III,,"DOUGLAS, AC-47 Skytrain DOUGLAS, C-117A Skytrooper DOUGLAS, C-117B Skytrooper DOUGLAS, C-117C Skytrooper DOUGLAS, C-41 DOUGLAS, C-47 Dakota DOUGLAS, C-47 Skytrain DOUGLAS, C-53 Skytrooper DOUGLAS, DC-3 DOUGLAS, DST DOUGLAS, EC-47 Skytrain DOUGLAS, HC-47 Skytrain DOUGLAS, LC-47 Skytrain DOUGLAS, R4D-1 Skytrain DOUGLAS, R4D-3 Skytrooper DOUGLAS, R4D-5 Skytrain DOUGLAS, R4D-6 Skytrain DOUGLAS, R4D-7 Skytrain DOUGLAS, RC-47 Skytrain DOUGLAS, TC-47 Skytrain DOUGLAS, VC-47 Skytrain LISUNOV, Li-2"
249,P51,secondary,Fixed-wing,1 P / S,Light,I,I,,"COMMONWEALTH (1), CA-18 Mustang NORTH AMERICAN, A-36 Mustang NORTH AMERICAN, F-51 Mustang NORTH AMERICAN, P-51 Mustang"
