rank,type_designator,group,description,engine_aircraft_class,wtc,cwt,srs,lahso,manufacturer_model
112,PAY3,piper,Fixed-wing,2 ~T / S,Light,I,II,8,"AICSA, PA-42-720 Cheyenne 3 PIPER, PA-42-720 Cheyenne 3"
113,PAY4,piper,Fixed-wing,2 ~T / S,Light,I,II,4,"PIPER, PA-42-1000 Cheyenne 400 ; PILATUS, PC-12"
114,AEST,piper,Fixed-wing,2 P / S,Light,I,II,5,"AEROSTAR (1), 600 ; AEROSTAR (1), 601 ; AICSA, Aerostar ; MACHEN, Superstar ; PIPER, Aerostar ; PIPER, PA-60 Aerostar ; TED SMITH, Aerostar"
115,S108,piper,Fixed-wing,1P/S,Light,I,I,2,"PIPER, 108 Station Wagon ; PIPER, 108 Voyager ; STINSON, 108 Station Wagon ; STINSON, 108 Voyager"
116,CRUZ,piper,Fixed-wing,1 P / S,Light,I,I,,"CSA, PiperSport CSA, PS-28 Cruiser"
117,B190,beechcraft,Fixed-wing,2 ~T / S+,Medium,H,III,7,"BEECH, 1900 ; BEECH, C-12J ; RAYTHEON, 1900"
118,B350,beechcraft,Fixed-wing,2 ~T / S+,Light/Medium,H,III,7,"BEECH, 300 (B300) Super King Air 350 BEECHCRAFT, 300 (B300) King Air 350 BEECHCRAFT, 300 (B300) King Air 360 HAWKER BEECHCRAFT, 300 (B300) King Air 350 HAWKER BEECHCRAFT, 300 (B300) Shadow HAWKER BEECHCRAFT, MC-12 RAYTHEON, 300 (B300) Super King Air 350 RAYTHEON, LR-2 Super King Air 350"
119,B36T,beechcraft,Fixed-wing,1 ~T / S,Light,I,I,1,"ALLISON, 36 Turbine Bonanza ; BEECH, 36 Bonanza (turbine) ; RAYTHEON, 36 Bonanza (turbine) ; TRADEWIND TURBINES, 36 Prop-Jet Bonanza"
120,B58T,beechcraft,Fixed-wing,2P/S,Light,I,II,6,"BEECH, 58P Pressurized Baron BEECH, 58TC Baron"
121,B60T,beechcraft,Fixed-wing,2T/S,Light,I,II,,"BEECH, 60 Royal Turbine Duke ; NORTHWEST TURBINE, 60 Royal Turbine Duke"
122,BE9L,beechcraft,Fixed-wing,2T/S,Light,I,II,5,"BEECH, 90 King Air ; BEECH, T-44 Pegasus ; BEECHCRAFT, 90 King Air 90 ; HAWKER BEECHCRAFT, 90 King Air 90 ; JETCRAFTERS, Taurus 90 ; RAYTHEON, 90 King Air ; SWEARINGEN, Taurus 90"
123,BE9T,beechcraft,Fixed-wing,2T/S,Light,I,II,7,"BEECH, 90 (F90) King Air ; AVIPRO, RB-4 Bearhawk ; R & B, RB-4 Bearhawk"
124,BE10,beechcraft,Fixed-wing,2T/S,Light,I,II,7,"BEECH, 100 King Air"
125,BE12,beechcraft,@Fixed-wing,2T/L,Medium,F,III,,"BEECH, U-21F Ute"
126,BE17,beechcraft,Fixed-wing,1P/S,Light,I,I,2,"BERIEV, Be-12 Tchaika BEECH, 17 Staggerwing"
127,BE18,beechcraft,Fixed-wing,2P/S,Light,I,II,4,"BEECH, RC-45 Expeditor BEECH, SNB Expeditor BEECH, TC-45 Expeditor BEECH, UC-45 Expeditor HAMILTON, Little Liner VOLPAR, 18"
128,BE19,beechcraft,Fixed-wing,1P/S,Light,I,I,1,"BEECH, 19 Musketeer Sport BEECH, 19 Sport"
